1. Qual o seu nivel de formacao?;2. Qual o seu ano de ingresso?;3. A qual programa esta vinculado?;como voce avalia a qualidade das aulas e do material utilizado?  [Qualidade das aulas];Como voce avalia a qualidade das aulas e do material utilizado?  [Material didatico utilizado nas disciplinas];Como voce avalia a qualidade das aulas e do material utilizado?  [Acervo disponivel para consulta];Como voce avalia a  infraestrutura do programa?  [Infraestrutura geral];Como voce avalia a  infraestrutura do programa?  [Laboratorios de pesquisa/Salas de estudo];Como voce avalia a  infraestrutura do programa?  [Insumos para pesquisa];Como voce avalia o relacionamento entre voce e: [os colegas];Como voce avalia o relacionamento entre voce e: [a comissao orientadora];Como voce avalia o relacionamento entre voce e: [a comissao coordenadora];Como voce avalia o relacionamento entre voce e: [a secretaria do programa];Como voce avalia a gestao do programa? [Processo de gestao/Administrativo do Programa];Como voce avalia a gestao do programa? [Organizacao do Programa];Como voce avalia o seu conhecimento acerca: [do seu papel enquanto aluno];Como voce avalia o seu conhecimento acerca: [do Regimento Interno do Programa];Como voce avalia o seu conhecimento acerca: [do Regimento Geral da Pos-Graduacao];Como voce avalia o seu conhecimento acerca: [das normas da Capes];Como voce avalia o seu conhecimento acerca: [do processo de avaliacao da Capes];Em relacao ao seu PROJETO DE PESQUISA, voce esta:;Em relacao a sua PRODUcaO CIENTiFICA, voce esta:;Voce acredita que sua pesquisa possui relevancia e pertinencia social?;Voce acredita que sua pesquisa possui relevancia e pertinencia economica?;Voce acredita que sua pesquisa possui relevancia e pertinencia ambiental?;Voce acredita que sua pesquisa promove avanco cientifico?;O seu Programa possui visao, missao e objetivos claros?;Voce acredita que sua pesquisa esta alinhada com o objetivo e missao de seu Programa?;Quais sao os principais atores que podem ser impactados por sua pesquisa e producao cientifica dela decorrente? (Marque todas que se aplicam).;Voce recebe bolsa de pos-graduacao?;Para a realizacao de seu projeto de pesquisa houve algum tipo de captacao de recurso externo (exceto bolsa)? ;Producao de inovacao tecnologica e uma prioridade em seu programa de pos-graduacao?;Voce acredita que sua linha de pesquisa se destaca pela producao de inovacao tecnologica?;Voce ja depositou alguma patente proveniente de sua pesquisa, ou possui isso como um dos objetivos de seu projeto de pesquisa?;Producao de tecnologias de APLICAcaO SOCIAL e uma prioridade em seu programa de pos-graduacao?;Alguma tecnologia de aplicacao social ja foi criada como resultado de sua pesquisa, ou possui isso como um dos objetivos de seu projeto de pesquisa?;Voce ja apresentou algum resultado de sua pesquisa em algum evento voltado para a COMUNIDADE, ou pretende apresentar?;Voce ja apresentou algum resultado de sua pesquisa em algum evento CIENTiFICO, ou pretende apresentar?;Sua pesquisa podera gerar solucoes para os problemas que a sociedade enfrenta ou vira a enfrentar?;Qual o nivel de internacionalizacao do seu programa?;No momento, ha interesse por parte do seu Programa de Pos-Graduacao em iniciar um processo de Internacionalizacao?;Voce se sente preparado para a internacionalizacao do seu Programa de Pos-Graduacao? ;Voce entende que o seu Programa de Pos-Graduacao esta preparado para a internacionalizacao?;Seu projeto de pesquisa possui parcerias com instituicoes internacionais de pesquisa ou ensino?;Qual o seu nivel de proficiencia em lingua inglesa?;Gostaria de adicionar algum comentario referente seu Programa de Pos-Graduacao?;Gostaria de adicionar algum comentario referente a Pro-Reitoria de Pesquisa e Pos-Graduacao?
Mestrado em andamento;2019;Estatistica Aplicada e Biometria;4;4;4;4;4;4;4;4;5;5;4;5;4;4;4;4;4;4;4;5;4;4;4;1;4;Empresas;1 - Fapemig;0;1;1;0;1;0;0;0;4;4;;4;4;0;3;;
Doutorado em andamento;2018;Estatistica Aplicada e Biometria;4;4;4;3;1;2;4;5;4;5;4;4;4;3;3;3;3;5;3;4;4;3;5;1;5;Empresas, Outros Pesquisadores;1 - Capes;0;0;;;0;;0;1, em um evento internacional;3;3;;5;5;1;5;;
Doutorado em andamento;2020;Estatistica Aplicada e Biometria;5;5;3;3;3;3;5;5;5;5;5;5;4;4;4;3;3;3;4;4;5;5;3;1;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Fapemig;A pesquisa ainda 0 comecou. Fase de disciplinas.;1;0;0;0;;1, em um evento nacional;1, em um evento nacional;4;2;;4;4;1;3;;
Mestrado em andamento;2019;Estatistica Aplicada e Biometria;5;5;5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;3;4;5;3;5;1;5;Empresas, Outros Pesquisadores;1 - Capes;1, junto a empresas interessadas nos resultados da pesquisa;1;1;0;1;0;1, em um evento local;1, em um evento local;4;3;;5;4;0;2;;
Mestrado em andamento;2019;Estatistica Aplicada e Biometria;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;3;Sociedade;0;0;1;0;0;1;0;0;0;4;5;;5;5;1;3;;
Mestrado em andamento;2020;Estatistica Aplicada e Biometria;5;5;5;5;0;4;4;5;4;5;5;5;4;3;3;3;3;4;2;4;4;5;5;1;4;Sociedade, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;0;1;1;0;Ainda 0, mas pretendo apresentar.;0;3;3;;5;5;0;5;Fiquei muito impressionado com o  nivel de organizacao, principalmente da secretaria. A facilidade e a boa vontade dos responsaveis em auxiliar os alunos e resolver problemas e algo admiravel. Isso facilita muito a rotina academica deixando o estudante livre para focar 100% em se aplicar nas disciplinas e na sua pesquisa.;
Doutorado em andamento;2020;Estatistica Aplicada e Biometria;5;5;5;5;5;5;5;4;4;5;5;5;4;3;3;3;3;4;4;4;4;3;4;1;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;1;0;1;0;0;1, em um evento nacional;4;3;;2;4;0;1;;
Doutorado em andamento;2017;Estatistica Aplicada e Biometria;4;4;3;4;3;4;5;5;5;5;5;5;4;4;4;4;4;4;3;3;4;3;4;1;4;Empresas, Agencias Governamentais;1 - Fapemig;0;0;;;0;;1, em um evento nacional;1, em um evento nacional;3;3;;2;4;0;2;;
Mestrado em andamento;2020;Estatistica Aplicada e Biometria;4;4;0;4;0;0;5;5;5;5;5;5;5;5;5;5;4;2;2;2;2;2;2;1;1;0 iniciei;1 - Capes;0;0;;;1;0;0;0;3;0;0;;;0;1;;
Mestrado em andamento;2019;Estatistica Aplicada e Biometria;5;5;4;5;5;5;5;5;5;5;5;5;4;4;4;4;5;4;3;5;5;5;5;1;5;Sociedade, Empresas, Outros Pesquisadores;1 - Capes;0;1;0;0;1;0;1, em um evento nacional;1, em um evento nacional;5;4;;4;4;0;3;;
Doutorado em andamento;2019;Estatistica Aplicada e Biometria;5;5;5;4;4;3;5;5;5;5;5;4;5;4;4;4;4;5;4;4;5;5;5;1;5;Sociedade, Empresas, Agencias Governamentais;1 - Capes;0;1;1;0;0;;1, em um evento internacional;1, em um evento internacional;5;4;;3;4;0;2;;
Mestrado em andamento;2020;Estatistica Aplicada e Biometria;5;5;5;0;0;0;5;5;5;5;5;5;4;4;4;4;4;4;4;5;5;5;4;1;5;Sociedade, Outros Pesquisadores;1 - Capes;0;1;0;0;1;0;1, em um evento regional;1, em um evento regional;3;5;;3;4;0;2;Excelente programa, com grande disponibilidade e competencia em todos os assuntos, alem de otimos profissionais. ;
Doutorado em andamento;2020;Estatistica Aplicada e Biometria;5;5;5;4;4;4;5;5;5;5;5;5;4;5;5;4;3;5;4;4;5;3;5;1;5;Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;1;0;0;;0;1, em um evento internacional;3;4;;4;4;1;2;;
Doutorado em andamento;2019;Estatistica Aplicada e Biometria;3;3;3;1;1;1;4;4;4;5;4;4;5;5;5;3;3;3;3;4;4;4;4;1;4;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;1;0;1;0;1, em um evento local;1, em um evento nacional;4;3;;3;3;0;4;;
Mestrado em andamento;2020;Estatistica Aplicada e Biometria;4;4;3;0;0;0;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;1;4;Sociedade, Agencias Governamentais;1 - Capes;0;1;1;0;1;0;0;0;4;3;;5;4;0;4;;
Mestrado em andamento;2020;Estatistica Aplicada e Biometria;4;5;5;5;0;0;5;5;5;5;5;5;4;4;4;4;4;4;3;5;5;4;5;1;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Fapemig;0;1;1;0;1;0;0;1, em um evento nacional;5;4;;5;4;0;4;;
Mestrado em andamento;2019;Estatistica Aplicada e Biometria;4;3;3;4;3;3;3;3;4;4;3;3;3;3;4;4;4;4;4;4;5;5;5;1;5;Sociedade, Empresas;1 - Fapemig;Materias em pdf, artigos;1;1;0;1;0;0;0;4;4;;4;5;0;3;;
Mestrado em andamento;2020;Extensao Rural;4;4;2;3;2;3;3;2;2;2;1;1;3;3;3;4;4;3;3;5;5;5;5;1;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;1 - CNPq;0;1;1;0;1;0;0;1, em um evento nacional;3;4;;4;5;0;3;0;0
Mestrado em andamento;2019;Extensao Rural;4;4;3;3;3;4;4;4;4;4;3;3;4;3;3;3;3;4;3;4;5;5;5;1;4;Empresas;1 - CNPq;0;0;;;1;1;1, em um evento internacional;1, em um evento internacional;4;2;;3;4;0;4;;
Mestrado em andamento;2020;Extensao Rural;4;4;4;2;2;2;3;3;3;3;2;2;4;3;3;3;3;3;3;4;3;3;3;1;3;Sociedade;1 - Capes;0;1;0;0;1;0;0;0;4;4;;3;3;0;1;;
Doutorado em andamento;2018;Extensao Rural;5;3;4;5;4;2;5;5;5;5;4;3;4;5;4;2;2;4;3;4;3;3;4;1;5;Sociedade, Outros Pesquisadores;1 - Capes;0;1;0;0;1;0;1, em um evento local;1, em um evento regional;4;3;;3;5;0;3;;
Mestrado em andamento;2019;Extensao Rural;4;4;4;4;4;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;2;3;0;;Sociedade, Empresas, Agencias Governamentais;0;0;0;;;0;;0;0;3;1;;3;2;0;3;Bolsonaro Genocida;Fora Bolsonaro
Mestrado em andamento;2019;Extensao Rural;5;5;5;5;4;5;5;5;5;5;5;5;4;5;5;0;0;3;3;5;5;5;5;1;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;0;0;0;;;0;;1, em um evento nacional;1, em um evento nacional;4;4;;5;4;0;4;Destaco a atuacao da Coordenacao de pos graduacao, muito competente e ativa no sentido de se dispor a solucao de problemas e diversas demandas dos discentes, em especial o coordenador que e muito competente, dedicado, humanista, compreensivo e diplomatico, sabendo mediar com maestria os conflitos que surgiram durante esse periodo de pandemia. Minha sincera gratidao as equipe da coordenacao e a minha orientadora!;Atendem as demandas burocraticas com rapidez, sao eficientes em relacao ao papel que exercem.
Mestrado em andamento;2019;Extensao Rural;5;5;5;5;4;5;5;5;5;5;5;5;4;5;5;0;0;3;3;5;5;5;5;1;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;0;0;0;;;0;;1, em um evento nacional;1, em um evento nacional;4;4;;5;4;0;4;Destaco a atuacao da Coordenacao de pos graduacao, muito competente e ativa no sentido de se dispor a solucao de problemas e diversas demandas dos discentes, em especial o coordenador que e muito competente, dedicado, humanista, compreensivo e diplomatico, sabendo mediar com maestria os conflitos que surgiram durante esse periodo de pandemia. Minha sincera gratidao as equipe da coordenacao e a minha orientadora!;Atendem as demandas burocraticas com rapidez, sao eficientes em relacao ao papel que exercem.
Doutorado em andamento;2018;Extensao Rural;5;5;5;5;5;4;5;5;5;5;5;5;0;5;5;4;0;5;5;5;4;4;5;1;5;Sociedade, Agencias Governamentais;1 - Capes;0;0;;;1;0;0;0;5;3;;3;3;0;4;;
Mestrado em andamento;2019;Extensao Rural;5;4;4;4;4;3;4;4;5;5;4;4;4;4;3;3;3;5;2;5;5;5;5;1;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;1;0;1;0;1, em um evento regional;1, em um evento nacional;5;4;;4;4;0;4;;
Doutorado em andamento;2020;Extensao Rural;5;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;1;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;0;0;1;1;Pretendo apresentar;Pretendo apresentar;5;2;;4;5;0;3;;
Doutorado em andamento;2020;Extensao Rural;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;5;5;0;;Sociedade, Agencias Governamentais;1 - Capes;1, junto a outras instituicoes de apoio a pesquisa (federais ou estaduais);1;1;0;1;0;1, em um evento regional;1, em um evento nacional;4;3;;5;5;0;5;;
Mestrado em andamento;2021;Extensao Rural;5;5;5;5;5;5;0;5;5;5;5;5;3;4;4;1;1;4;1;5;5;4;5;1;4;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;0;0;0;;;0;;0;0;5;3;;2;5;0;0;;
Mestrado em andamento;2020;Extensao Rural;5;3;0;0;0;0;5;5;5;5;5;5;5;4;4;0;4;3;1;3;5;5;4;1;4;Sociedade;0;0;0;;;1;0;0;0;5;0;1;3;3;0;2;;
Doutorado em andamento;2019;Extensao Rural;5;5;4;5;4;0;3;5;5;5;5;5;5;5;4;4;4;2;5;4;5;3;4;1;5;Empresas, Outros Pesquisadores;1 - Capes;0;0;;;1;0;1, em um evento regional;1, em um evento nacional;4;3;;3;3;0;3;;
Mestrado em andamento;2019;Extensao Rural;5;5;5;5;4;3;5;4;5;5;5;5;5;5;5;5;5;4;5;5;4;5;5;1;4;Sociedade, Empresas, Outros Pesquisadores;1 - Capes;0;1;0;0;1;1;Pretendo apresentar ;Pretendo apresentar ;5;4;;5;5;1;4;;
Mestrado em andamento;2020;Extensao Rural;4;4;2;4;0;4;5;3;3;4;4;5;4;3;3;4;4;3;3;4;4;2;4;1;3;Sociedade, Empresas, Agencias Governamentais;1 - Capes;0;0;;;1;0;0;0;4;2;;1;3;0;4;;
Doutorado em andamento;2020;Extensao Rural;4;4;4;5;5;5;4;5;4;5;5;5;5;5;5;4;4;4;4;5;4;4;4;1;4;Sociedade, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;0;;;1;0;1, em um evento regional;1, em um evento regional;4;3;;4;4;0;3;;
Mestrado em andamento;2019;Fisica;3;4;5;4;4;4;5;5;3;5;2;1;5;4;4;4;4;5;5;5;3;3;5;1;1;Sociedade, Outros Pesquisadores;1 - CNPq;0;0;;;0;;0;1, em um evento nacional;5;3;;5;1;0;4;;
Doutorado em andamento;2017;Fisica;4;4;5;5;4;4;5;5;5;5;4;4;5;4;4;3;3;5;4;4;4;4;5;1;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Fapemig;0;1;1;0;1;0;0;1, em um evento nacional;4;3;;4;3;1;3;;
Mestrado em andamento;2020;Fisica;4;5;5;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;2;5;1;4;Empresas, Outros Pesquisadores;1 - Capes;0;1;1;0;0;;0;1, em um evento local;2;3;;3;3;0;3;;
Mestrado em andamento;2019;Fisica;4;5;5;5;5;4;5;5;5;5;5;5;5;5;5;4;4;3;3;3;5;3;5;1;5;Empresas, Outros Pesquisadores;1 - Capes;0;1;1;0;0;;1, em um evento regional;1, em um evento local;3;2;;4;4;0;4;O corpo do programa e bastante unido e proativo, de forma que como aluno eu sempre me sinto apoiado.;
Mestrado em andamento;2019;Fisica;4;4;5;4;4;4;5;5;5;5;4;4;4;4;4;4;3;5;4;4;4;3;4;1;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;0;;;0;;0;1, em um evento internacional;3;2;;4;3;0;3;;
Mestrado em andamento;2019;Fisica;4;4;4;5;5;5;5;1;3;3;4;4;5;4;4;4;3;1;1;5;5;1;5;0;;Sociedade, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;0;0;0;;1, pretendo apresentar atraves de blogs e sites de acesso nacional e internacional;1, em um evento local;5;3;;4;4;0;4;Acredito que, ao focar em aspectos de produtividade e desempenho, o programa deixa aspectos sociais e humanos dos alunos de lado. Penso que, seria interessante para o programa, como um todo, maior interacao social entre todos do programa, as1 como acompanhamento dos estudantes e orientadores, para que as1 todos estejam satisfeitos e caminhando no seu ritimo para tornar o programa melhor, 0 apenas no aspecto de producao. ;
Mestrado em andamento;2020;Fisica;5;5;3;4;4;4;3;5;4;4;4;4;4;4;4;4;4;5;5;5;5;3;5;1;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;1;0;1;1;1, em um evento regional;1, em um evento nacional;4;3;;5;5;0;3;;
Doutorado em andamento;2019;Fisica;4;4;4;3;2;0;5;5;5;5;0;0;5;4;4;3;3;4;4;4;5;3;5;1;5;Outros Pesquisadores;1 - Capes;0;1;0;0;0;;0;1, em um evento nacional;2;1;;2;2;0;3;;
Mestrado em andamento;2021;Fisica;5;5;5;5;5;5;4;5;5;5;5;4;5;5;5;4;4;5;5;5;4;2;5;1;5;Sociedade, Agencias Governamentais;1 - CNPq;1, junto a agencias de fomento governamentais;1;0;0;1;1;0;1, em um evento internacional;4;4;;5;4;1;5;;
Doutorado em andamento;2021;Fisica;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;3;5;3;5;1;5;Outros Pesquisadores;0;0;1;1;1;0;;0;1, em um evento internacional;2;4;;3;5;1;3;Excelente programa.;Bom servico prestado.
Mestrado em andamento;2020;Fisica;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;3;5;3;2;4;1;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;0;0;1;1;0;1;1;1, em um evento regional;1, em um evento regional;3;3;;3;3;0;1;;
Mestrado em andamento;2020;Fisica;4;5;0;4;0;4;4;5;5;5;4;4;4;5;4;4;4;5;3;4;5;5;5;1;5;Empresas, Outros Pesquisadores;0;1, junto a outras instituicoes de apoio a pesquisa (federais ou estaduais);1;1;0;1;0;0;0;5;5;;2;5;0;2;;
Mestrado em andamento;2020;Fisica;4;4;2;4;5;5;5;5;5;4;4;5;5;4;4;3;4;5;3;5;5;4;4;0;;Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;1;0;0;;0;1, em um evento local;5;3;;3;3;0;3;;
Mestrado em andamento;2020;Fisica;5;5;4;4;4;4;4;5;4;4;4;4;5;4;4;4;4;5;5;5;5;5;5;1;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;1;0;1;0;1, em um evento regional;1, em um evento nacional;5;3;;5;5;0;3;;
Doutorado em andamento;2020;Fisica;4;4;4;3;2;2;4;5;2;4;3;3;4;3;3;3;3;4;4;3;2;2;5;0;;Outros Pesquisadores;1 - Capes;0;0;;;0;;0;1, em um evento nacional;5;3;;5;3;0;5;;
Mestrado em andamento;2021;Fisica;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;1, junto a agencias de fomento governamentais;1;1;1;1;1;1, em um evento nacional;1, em um evento nacional;5;3;;5;5;0;4;;
Mestrado em andamento;2021;Fisica;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;1, junto a agencias de fomento governamentais;1;1;1;1;1;1, em um evento nacional;1, em um evento nacional;5;3;;5;5;0;4;;
Mestrado em andamento;2020;Fisica;4;4;3;4;0;0;4;0;0;4;4;3;3;2;2;2;1;2;1;3;4;4;5;0;;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - CNPq;0;1;0;0;0;;1, em um evento local;1, em um evento nacional;4;2;;4;4;0;3;;
Doutorado em andamento;2020;Fisica;5;5;5;4;4;3;5;5;5;4;5;5;5;4;4;4;4;4;4;5;5;5;5;1;5;Empresas, Outros Pesquisadores;1 - Capes;0;1;;0;0;;0;1, em um evento nacional;4;4;;4;5;0;4;;
Doutorado em andamento;2020;Fisica;5;4;4;5;4;4;5;5;5;4;5;5;5;5;4;4;5;5;4;5;4;4;5;1;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;1 - Capes;1, junto a outras instituicoes de apoio a pesquisa (federais ou estaduais);1;0;0;1;0;1, em um evento local;1, em um evento internacional;5;4;;5;5;0;4;;
Doutorado em andamento;2016;Fisica;4;4;5;5;2;0;5;5;5;5;5;5;5;5;5;4;4;5;5;5;4;4;5;1;5;Sociedade;1 - Capes;0;1;1;1;0;;0;1, em um evento nacional;4;4;;5;5;1;5;0;0
Doutorado em andamento;2020;Fisica;5;5;5;4;4;4;5;5;5;5;4;4;5;4;4;4;4;4;3;3;4;2;4;1;5;Empresas, Outros Pesquisadores;1 - Capes;0;1;1;0;0;;0;1, em um evento local;3;4;;5;5;0;5;;
Doutorado em andamento;2020;Fisica;5;4;4;5;0;0;4;5;5;4;5;5;5;4;4;4;4;4;3;4;4;5;4;1;4;Sociedade, Empresas, Outros Pesquisadores;1 - Capes;0;1;1;0;0;;0;1, em um evento local;5;3;;4;4;0;4;;
Mestrado em andamento;2020;Fisiologia Vegetal;4;4;3;5;0;0;5;5;5;5;4;4;4;4;4;4;4;5;4;4;5;5;5;1;5;Sociedade, Empresas, Outros Pesquisadores;1 - Capes;0;1;1;1;1;1;1, em um evento nacional;1, em um evento nacional;5;5;;4;5;0;3;;
Doutorado em andamento;2018;Fisiologia Vegetal;3;4;5;5;4;4;4;3;4;5;3;2;4;4;4;3;4;5;3;2;4;3;5;0;;Outros Pesquisadores, Agencias Governamentais;1 - CNPq;1, junto a agencias de fomento governamentais;0;;;0;;0;1, em um evento internacional;2;3;;5;2;0;5;Meu PPG e um dos mais conservadores e tradicionais da America Latina. Esse contexto atrasa o desenvolvimento de diversas habilidades aos estudantes que, por consequencia, 0 se sentem encorajados a buscar formacoes complementares.;A PPG possui uma otima politica entre os pares. O que facilita a comunicacao e fomenta a resolucao de conflitos. Contudo, a autonomia dentro dos programas de pos-graduacao faz com que os professores 0 sigam regimentos e estatutos. Essa pratica deixa a UFV fragilizada juridicamente, alem de causar inúmeros transtornos aos pares da instituicao, como alunos, servidores, entre outros.
Doutorado em andamento;2018;Fisiologia Vegetal;4;4;5;4;4;4;4;5;5;5;5;4;4;5;3;4;4;3;3;3;4;5;4;0;;Sociedade, Outros Pesquisadores, Agencias Governamentais;1 - CNPq;1, junto a outras instituicoes de apoio a pesquisa (federais ou estaduais);0;;;0;;1, em um evento local;1, em um evento nacional;5;4;;4;4;0;3;;
Doutorado em andamento;2019;Fisiologia Vegetal;4;4;4;5;5;5;4;5;5;5;4;4;4;4;4;4;3;5;1;5;5;5;5;0;;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;0;;;0;;0;1, em um evento nacional;5;3;;1;3;0;1;;
Doutorado em andamento;2017;Fisiologia Vegetal;4;4;4;5;4;5;3;3;3;5;4;4;4;4;4;4;4;3;4;4;4;4;4;1;4;Outros Pesquisadores;0;0;1;0;0;0;;0;0;3;4;;4;4;0;3;;
Mestrado em andamento;2020;Fisiologia Vegetal;4;3;3;3;3;3;4;4;3;5;4;4;5;3;3;3;3;4;3;5;5;5;5;1;4;Sociedade, Empresas, Outros Pesquisadores;1 - Capes;1, junto a agencias de fomento governamentais;0;;;0;;1, em um evento local;1, em um evento internacional;5;5;;3;4;0;3;Apesar de ser um programa em Fisiologia Vegetal e de ciencia basica como sempre e frisado em reunioes, creio que seria interessante que pudessem nos mostrar mais oportunidades do mercado de trabalho, porque infelizmente concursos estao dificeis.;
Doutorado em andamento;2019;Fisiologia Vegetal;3;1;5;3;2;3;5;5;4;5;5;5;3;3;3;3;3;4;3;3;3;5;5;1;5;Outros Pesquisadores;1 - Capes;1, junto a agencias de fomento governamentais;0;;;0;;0;0;2;5;;3;5;0;2;;
Doutorado em andamento;2017;Fisiologia Vegetal;3;4;5;4;3;1;4;1;2;5;4;4;5;4;4;2;2;1;1;2;3;4;2;0;;Empresas, Outros Pesquisadores;1 - Capes;0;0;;;0;;0;0;3;5;;5;4;1;5;Pes1os orientadores;
Doutorado em andamento;2019;Fisiologia Vegetal;3;1;5;3;2;3;5;5;4;5;5;5;3;3;3;3;3;4;3;3;3;5;5;1;5;Outros Pesquisadores;1 - Capes;1, junto a agencias de fomento governamentais;0;;;0;;0;0;2;5;;3;5;0;2;;
Doutorado em andamento;2020;Fisiologia Vegetal;4;4;5;5;5;5;3;4;0;4;4;5;3;4;2;2;2;1;1;1;2;2;3;1;5;Outros Pesquisadores;1 - Capes;1, junto a outras instituicoes de apoio a pesquisa (federais ou estaduais);0;;;0;;0;1, em um evento internacional;1;5;;2;4;0;2;;
Doutorado em andamento;2019;Fisiologia Vegetal;4;5;4;5;4;4;5;5;3;3;2;2;4;4;4;4;3;4;3;3;3;4;4;0;;Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;0;;;0;;0;1, em um evento local;3;3;;5;5;0;2;;
Doutorado em andamento;2020;Fisiologia Vegetal;4;4;3;5;5;5;5;5;5;5;5;4;4;3;3;3;2;3;4;5;5;5;4;1;3;Sociedade, Empresas, Agencias Governamentais;1 - CNPq;1, junto a outras instituicoes de apoio a pesquisa (federais ou estaduais);1;0;0;0;;0;1, em um evento nacional;4;4;;2;4;0;2;;
Doutorado em andamento;2020;Fisiologia Vegetal;4;3;3;2;2;2;3;3;3;3;2;2;4;4;4;4;4;3;3;3;3;3;3;1;3;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;1, junto a agencias de fomento governamentais;1;1;0;1;0;1, em um evento internacional;1, em um evento internacional;3;5;;4;5;0;3;;
Mestrado em andamento;2019;Fisiologia Vegetal;3;3;2;3;4;3;3;2;3;4;3;3;3;3;3;3;3;4;3;5;5;5;5;1;5;Empresas, Outros Pesquisadores;1 - Capes;0;0;;;0;;0;0;3;4;;2;5;0;1;Os orientadores serem mais presentes. ;
Doutorado em andamento;2017;Fisiologia Vegetal;3;4;4;3;3;3;2;3;3;3;1;1;3;2;2;2;3;5;3;4;5;5;5;1;5;Empresas, Agencias Governamentais;1 - Capes;0;0;;;0;;0;1, em um evento local;5;5;;5;5;1;5;;
Mestrado em andamento;2020;Fisiologia Vegetal;4;4;4;5;5;4;4;4;4;5;4;5;4;4;3;3;3;4;3;3;3;4;4;1;4;Outros Pesquisadores, Agencias Governamentais;1 - CNPq;1, junto a agencias de fomento governamentais;0;;;0;;0;1, em um evento nacional;3;5;;3;4;0;3;;
Doutorado em andamento;2020;Fisiologia Vegetal;5;5;5;5;5;5;4;5;5;5;5;5;5;3;3;2;2;4;1;2;5;5;5;1;5;Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;1, junto a agencias de fomento governamentais;0;;;0;;1, em um evento internacional;1, em um evento nacional;3;5;;4;5;1;3;;
Doutorado em andamento;2017;Fisiologia Vegetal;4;4;5;4;4;4;5;5;4;5;4;4;4;4;3;3;3;5;4;4;4;4;4;0;;Sociedade, Empresas, Outros Pesquisadores;1 - CNPq;0;0;;;0;;0;0;4;5;;3;4;0;3;;
Mestrado em andamento;2020;Fisiologia Vegetal;5;5;5;5;5;0;0;5;5;5;5;5;4;4;3;3;3;4;3;2;5;3;4;1;5;Sociedade, Empresas, Outros Pesquisadores;1 - Capes;0;1;1;0;0;;0;Pretendo apresentar;5;4;;3;5;0;2;;
Doutorado em andamento;2020;Fisiologia Vegetal;5;5;5;0;0;5;0;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;1;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;0;;;0;;0;0;5;5;;5;5;1;3;;
